Underlagt-ID,Underlagt,Underlagt2,Enhet,Enhetskode,Fradato,Tildato
HRO,"Helse, rehabilitering og omsorg",HO,Hjemmebasert omsorg,HRO.HO,30.12.2003 00:00:00,
HRO,"Helse, rehabilitering og omsorg",HROADM,"Helse, rehabilitering og omsorg",HRO.HROADM,30.12.2003 00:00:00,
HRO,"Helse, rehabilitering og omsorg",KJØ,Kjøkken,HRO.KJØ,01.07.2005 00:00:00,
HRO,"Helse, rehabilitering og omsorg",LAO,Løten Arbeids- og opplæringssenter,HRO.LAO,30.12.2003 00:00:00,
HRO,"Helse, rehabilitering og omsorg",LH,Løten Helsetun,HRO.LH,30.12.2003 00:00:00,
HRO,"Helse, rehabilitering og omsorg",REH,Rehabilitering,HRO.REH,01.07.2005 00:00:00,
HRO,"Helse, rehabilitering og omsorg",REN,Renhold,HRO.REN,01.07.2005 00:00:00,
HRO,"Helse, rehabilitering og omsorg",SYA,Sykeavdelingen,HRO.SYA,01.07.2005 00:00:00,
HRO,"Helse, rehabilitering og omsorg",SYH,Sykehusvn. 2-12,HRO.SYH,01.07.2005 00:00:00,
HRO,"Helse, rehabilitering og omsorg",TFF,Tjenesten for funksjonshemmede,HRO.TFF,30.12.2003 00:00:00,
,,HSB,"Helse-, sosial- og tiltak for barn og unge",HSB,30.12.1998 00:00:00,31.07.2005 00:00:00
HSB,"Helse-, sosial- og tiltak for barn og unge",ANS,Ansettelseråd,HSB.ANS,27.04.2001 00:00:00,31.07.2005 00:00:00
HSB,"Helse-, sosial- og tiltak for barn og unge",ATG,Arbeidstreningsgruppa,HSB.ATG,31.12.1998 00:00:00,31.07.2005 00:00:00
HSB,"Helse-, sosial- og tiltak for barn og unge",BV,Barnevernet,HSB.BV,30.12.1998 00:00:00,31.07.2005 00:00:00
HSB,"Helse-, sosial- og tiltak for barn og unge",FYS,Fysioterapien,HSB.FYS,30.12.1998 00:00:00,31.07.2005 00:00:00
HSB,"Helse-, sosial- og tiltak for barn og unge",HS,Helsestasjonen,HSB.HS,30.12.1998 00:00:00,31.07.2005 00:00:00
HSB,"Helse-, sosial- og tiltak for barn og unge",HSBADM,"Helse, sosial- og barnetjenesten",HSB.HSBADM,30.12.1998 00:00:00,31.07.2005 00:00:00
HSB,"Helse-, sosial- og tiltak for barn og unge",KOM,Kommunelegen,HSB.KOM,08.01.2001 00:00:00,31.07.2005 00:00:00
HSB,"Helse-, sosial- og tiltak for barn og unge",LEG,Legesenteret,HSB.LEG,30.12.1998 00:00:00,31.07.2005 00:00:00
HSB,"Helse-, sosial- og tiltak for barn og unge",PPT,Pedagogisk psykologisk tjenestekontor,HSB.PPT,30.12.1998 00:00:00,31.07.2005 00:00:00
HSB,"Helse-, sosial- og tiltak for barn og unge",SOSTJ,Sosialtjenesten,HSB.SOSTJ,02.01.2001 00:00:00,31.07.2005 00:00:00
HSB,"Helse-, sosial- og tiltak for barn og unge",TA,Tiltak og attføring,HSB.TA,30.12.1998 00:00:00,31.07.2005 00:00:00
JOB,Jønsrud barnehage,JOB,Jønsrud barnehage,JOB,10.01.2008 00:00:00,
JOB,Jønsrud barnehage,ADM,Administrasjon,JOB.ADM,10.01.2008 00:00:00,
JOB,Jønsrud barnehage,SAK,Saksbehandler,JOB.SAK,10.01.2008 00:00:00,
